城市,日期,小时,AQI,空气质量等级,PM2.5
保定市,2025-12-05,7,75.0,良,55.0
保定市,2025-12-05,3,58.0,良,37.0
保定市,2025-12-05,5,63.0,良,43.0
承德市,2025-12-04,19,18.0,优,10.0
承德市,2025-12-04,22,32.0,优,22.0
承德市,2025-12-05,0,32.0,优,20.0
承德市,2025-12-05,2,29.0,优,16.0
承德市,2025-12-05,6,32.0,优,15.0
承德市,2025-12-05,8,36.0,优,16.0
承德市,2025-12-04,20,27.0,优,10.0
承德市,2025-12-05,4,25.0,优,12.0
承德市,2025-12-04,23,27.0,优,18.0
承德市,2025-12-05,1,26.0,优,12.0
承德市,2025-12-04,21,26.0,优,13.0
承德市,2025-12-05,7,29.0,优,19.0
承德市,2025-12-05,3,27.0,优,16.0
承德市,2025-12-05,5,27.0,优,12.0
沧州市,2025-12-04,19,42.0,优,23.0
沧州市,2025-12-04,22,46.0,优,26.0
沧州市,2025-12-05,0,41.0,优,25.0
沧州市,2025-12-05,2,33.0,优,16.0
沧州市,2025-12-05,6,41.0,优,24.0
沧州市,2025-12-05,8,46.0,优,28.0
沧州市,2025-12-04,20,51.0,良,28.0
沧州市,2025-12-05,4,37.0,优,23.0
沧州市,2025-12-04,23,42.0,优,26.0
沧州市,2025-12-05,1,35.0,优,20.0
沧州市,2025-12-04,21,48.0,优,27.0
沧州市,2025-12-05,7,46.0,优,28.0
沧州市,2025-12-05,3,35.0,优,24.0
沧州市,2025-12-05,5,38.0,优,26.0
廊坊市,2025-12-04,19,29.0,优,20.0
廊坊市,2025-12-05,0,35.0,优,24.0
廊坊市,2025-12-04,22,40.0,优,23.0
廊坊市,2025-12-05,2,38.0,优,24.0
廊坊市,2025-12-05,6,44.0,优,24.0
廊坊市,2025-12-05,8,46.0,优,24.0
廊坊市,2025-12-04,20,40.0,优,25.0
廊坊市,2025-12-05,4,46.0,优,27.0
廊坊市,2025-12-04,23,37.0,优,23.0
廊坊市,2025-12-05,1,39.0,优,27.0
廊坊市,2025-12-04,21,46.0,优,27.0
廊坊市,2025-12-05,7,42.0,优,26.0
