date,city,pm25,data_quality_flag
2015-01-12,沧州市,40.0,0
2015-01-12,廊坊市,74.0,0
2015-01-12,衡水市,70.0,0
2015-01-13,北京市,155.0,0
2015-01-13,天津市,115.0,0
2015-01-13,石家庄市,195.0,0
2015-01-13,唐山市,146.0,0
2015-01-13,秦皇岛市,96.0,0
2015-01-13,邯郸市,143.0,0
2015-01-13,邢台市,175.0,0
2015-01-13,保定市,234.0,0
2015-01-13,张家口市,54.0,0
2015-01-13,承德市,88.0,0
2015-01-13,沧州市,104.0,0
2015-01-13,廊坊市,169.0,0
2015-01-13,衡水市,143.0,0
2015-01-14,北京市,213.0,0
2015-01-14,天津市,204.0,0
2015-01-14,石家庄市,212.0,0
2015-01-14,唐山市,310.0,0
2015-01-14,秦皇岛市,173.0,0
2015-01-14,邯郸市,230.0,0
2015-01-14,邢台市,261.0,0
2015-01-14,保定市,233.0,0
2015-01-14,张家口市,35.0,0
2015-01-14,承德市,109.0,0
2015-01-14,沧州市,172.0,0
2015-01-14,廊坊市,250.0,0
2015-01-14,衡水市,209.0,0
2015-01-15,北京市,328.0,0
2015-01-15,天津市,211.0,0
2015-01-15,石家庄市,310.0,0
2015-01-15,唐山市,194.0,0
2015-01-15,秦皇岛市,91.0,0
2015-01-15,邯郸市,274.0,0
2015-01-15,邢台市,322.0,0
2015-01-15,保定市,299.0,0
2015-01-15,张家口市,40.0,0
2015-01-15,承德市,119.0,0
2015-01-15,沧州市,163.0,0
2015-01-15,廊坊市,253.0,0
2015-01-15,衡水市,284.0,0
2015-01-16,北京市,111.0,0
2015-01-16,天津市,99.0,0
2015-01-16,石家庄市,157.0,0
2015-01-16,唐山市,166.0,0
2015-01-16,秦皇岛市,128.0,0
2015-01-16,邯郸市,287.0,0
2015-01-16,邢台市,299.0,0
2015-01-16,保定市,154.0,0
2015-01-16,张家口市,16.0,0
2015-01-16,承德市,54.0,0
2015-01-16,沧州市,95.0,0
2015-01-16,廊坊市,81.0,0
2015-01-16,衡水市,245.0,0
2015-01-17,北京市,59.0,0
2015-01-17,天津市,37.0,0
2015-01-17,石家庄市,82.0,0
