城市,日期,小时,AQI,空气质量等级,PM2.5,PM10,SO₂,NO₂,CO,O₃,首要污染物,健康建议,措施建议,采集时间
天津市,2025-12-03,09,50.0,优,25.0,50.0,8.0,42.0,0.7,22.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,13,25.0,优,12.0,25.0,6.0,16.0,0.4,55.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,07,47.0,优,25.0,47.0,8.0,48.0,0.6,12.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,00,40.0,优,18.0,40.0,7.0,43.0,0.5,22.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,10,30.0,优,15.0,30.0,7.0,23.0,0.5,42.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,17,36.0,优,16.0,36.0,7.0,25.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,04,38.0,优,18.0,38.0,7.0,38.0,0.5,24.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,14,28.0,优,13.0,28.0,6.0,16.0,0.4,56.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,01,40.0,优,18.0,40.0,7.0,41.0,0.5,24.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
天津市,2025-12-03,18,46.0,优,20.0,46.0,7.0,37.0,0.5,36.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:51
石家庄市,2025-12-02,20,52.0,良,27.0,53.0,3.0,29.0,0.4,32.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,11,56.0,良,22.0,61.0,8.0,32.0,0.5,36.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,02,51.0,良,24.0,52.0,4.0,31.0,0.4,25.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,15,35.0,优,11.0,35.0,5.0,13.0,0.4,62.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-02,22,53.0,良,28.0,55.0,5.0,30.0,0.4,28.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,05,51.0,良,23.0,52.0,4.0,38.0,0.4,16.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,08,57.0,良,28.0,63.0,4.0,40.0,0.6,16.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,12,43.0,优,15.0,43.0,5.0,21.0,0.4,46.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-02,21,53.0,良,24.0,55.0,4.0,28.0,0.4,31.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-02,23,54.0,良,31.0,58.0,4.0,30.0,0.4,28.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,16,38.0,优,14.0,38.0,4.0,14.0,0.4,61.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-03,03,51.0,良,26.0,51.0,4.0,35.0,0.4,21.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,06,51.0,良,26.0,52.0,3.0,39.0,0.4,15.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,09,59.0,良,28.0,67.0,6.0,39.0,0.7,19.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,13,32.0,优,12.0,32.0,5.0,16.0,0.4,55.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-03,07,54.0,良,28.0,58.0,3.0,39.0,0.5,15.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,00,52.0,良,25.0,53.0,4.0,25.0,0.4,32.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,10,56.0,良,28.0,61.0,9.0,36.0,0.6,28.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,17,39.0,优,15.0,39.0,4.0,17.0,0.4,57.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-03,04,51.0,良,24.0,51.0,4.0,36.0,0.4,18.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,14,32.0,优,12.0,32.0,5.0,13.0,0.4,60.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
石家庄市,2025-12-03,01,51.0,良,24.0,52.0,4.0,27.0,0.4,29.0,颗粒物(PM10),空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,极少数异常敏感人群应减少户外活动,2025-12-03 18:45:53
石家庄市,2025-12-03,18,44.0,优,17.0,44.0,4.0,24.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:53
唐山市,2025-12-02,20,30.0,优,15.0,30.0,3.0,25.0,0.4,34.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,11,19.0,优,4.0,10.0,3.0,9.0,0.3,58.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,02,16.0,优,11.0,16.0,3.0,13.0,0.3,43.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,15,21.0,优,3.0,11.0,3.0,6.0,0.2,65.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-02,22,29.0,优,14.0,29.0,3.0,25.0,0.5,33.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,05,30.0,优,15.0,30.0,4.0,26.0,0.4,26.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,08,35.0,优,16.0,35.0,3.0,39.0,0.4,18.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-03,12,20.0,优,3.0,11.0,3.0,7.0,0.3,63.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-02,21,32.0,优,17.0,32.0,4.0,28.0,0.5,29.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
唐山市,2025-12-02,23,24.0,优,10.0,24.0,3.0,24.0,0.5,35.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:55
